Altium Designer Pick and Place Locations
C:\Users\Ben\Desktop\abacus_pcb\abacus_main\Project Outputs for abacus_main\manufacturing\Pick Place\Pick Place for main.csv

========================================================================================================================
File Design Information:

Date:       11/11/25
Time:       12:33
Revision:   26fef9e1cf3dc1171b7b9eda3dc3d36e36ba4503
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer_Part_Number"
"C11","TopLayer","106.9000","101.0000","180","CC0201KRX5R7BB223"
"C10","TopLayer","105.1000","101.0000","180","CC0201MRX5R5BB105"
"C9","TopLayer","100.5000","101.0000","315","CC0201KRX5R7BB104"
"C8","TopLayer","100.0000","100.5000","315","CC0201KRX5R7BB104"
"C7","TopLayer","93.6000","93.7000","135","CC0201KRX5R7BB104"
"C6","TopLayer","94.2245","94.2755","135","CC0201KRX5R7BB104"
"C5","TopLayer","94.3000","99.7000","180","CC0201MRX5R5BB225"
"C4","TopLayer","92.4000","100.8000","135","CC0201KRX5R7BB223"
"C3","TopLayer","91.3000","101.8000","315","CC0201MRX5R5BB105"
"C2","TopLayer","87.2000","100.2000","315","CC0201KRX5R7BB104"
"C1","TopLayer","87.7000","100.8000","315","CC0201KRX5R7BB104"
"C0","TopLayer","81.7000","98.8000","0","865080340001"
